file,key,englishText
"src/main/assets/locales/cy/accessCode.json","errors.respondToClaimUnavailable","The option to respond to a claim is not available at the moment."
"src/main/assets/locales/cy/claimList.json","pageTitle","Your Possession Claims account"
"src/main/assets/locales/cy/claimList.json","heading","Your Possession Claims account"
"src/main/assets/locales/cy/claimList.json","accessYourCase","If a claim you want to view is not listed below, you must first <a href=""/access-your-case"" class=""govuk-link"" target=""_blank"" rel=""noreferrer noopener"">provide some details to access it (opens in new tab)</a>."
"src/main/assets/locales/cy/claimList.json","claimsMadeAgainstYou","Claims made against you"
"src/main/assets/locales/cy/claimList.json","table.claimNumber","Claim number"
"src/main/assets/locales/cy/claimList.json","table.claimantsName","Claimant’s name"
"src/main/assets/locales/cy/claimList.json","table.propertyPostcode","Property postcode"
"src/main/assets/locales/cy/claimList.json","table.actions","Actions"
"src/main/assets/locales/cy/claimList.json","table.viewClaim","View claim"
"src/main/assets/locales/cy/claimList.json","noClaimsFound","There are no claims against you."
"src/main/assets/locales/cy/common.json","errors.documentUpload.fileTooLargeDocStore","File you have uploaded is too big. Document files must be less than {{maxSize}}."
"src/main/assets/locales/cy/common.json","errors.documentUpload.fileTooLargeMedia","File you have uploaded is too big. Image files must be smaller than {{maxSize}}."
"src/main/assets/locales/cy/common.json","errors.documentUpload.fileTotalTooLargeDocStore","The selected files must be smaller than {{maxSize}}. Delete one or more files or reduce the file sizes."
"src/main/assets/locales/cy/common.json","errors.documentUpload.filenameTooLong","The file name must be {{maxLength}} characters or fewer"
"src/main/assets/locales/cy/common.json","errors.documentUpload.uploadFailed","The selected file could not be uploaded – try again"
"src/main/assets/locales/cy/common.json","errorPages.pageNotFound.paragraph8","<a class=""govuk-link"" href=""https://www.gov.uk/call-charges"" target=""_blank"" rel=""noopener noreferrer"">Find out about call charges (opens in new tab)</a>."
"src/main/assets/locales/cy/common.json","errorPages.serviceUnavailable.paragraph7","<a class=""govuk-link"" href=""https://www.gov.uk/call-charges"" target=""_blank"" rel=""noopener noreferrer"">Find out about call charges (opens in new tab)</a>."
"src/main/assets/locales/cy/common.json","errorPages.technicalError.paragraph8","<a class=""govuk-link"" href=""https://www.gov.uk/call-charges"" target=""_blank"" rel=""noopener noreferrer"">Find out about call charges (opens in new tab)</a>."
"src/main/assets/locales/cy/common.json","errorPages.accessDenied.paragraph6","<a class=""govuk-link"" href=""https://www.gov.uk/call-charges"" target=""_blank"" rel=""noopener noreferrer"">Find out about call charges (opens in new tab)</a>."
"src/main/assets/locales/cy/makeAnApplication/applicationSubmitted.json","paymentBeingProcessed","Payment being processed"
"src/main/assets/locales/cy/makeAnApplication/applicationSubmitted.json","adjournRequestReceived","We have received your request to adjourn (delay) the court hearing."
"src/main/assets/locales/cy/makeAnApplication/applicationSubmitted.json","setAsideRequestReceived","We have received your request to set aside (cancel) the order."
"src/main/assets/locales/cy/makeAnApplication/applicationSubmitted.json","somethingElseRequestReceived","We have received your request to ask the court to make an order."
"src/main/assets/locales/cy/makeAnApplication/applicationSubmitted.json","youDoNotNeedToDoAnythingElse","You do not need to do anything else. We will send your application to the judge and we will contact you again when they have made a decision."
"src/main/assets/locales/cy/makeAnApplication/applicationSubmitted.json","giveFeedbackAboutThisService","Give feedback about this service"
"src/main/assets/locales/cy/makeAnApplication/payForYourApplication.json","pageTitle","Pay for your application"
"src/main/assets/locales/cy/makeAnApplication/payForYourApplication.json","heading","Pay for your application"
"src/main/assets/locales/cy/makeAnApplication/payForYourApplication.json","applicationFee","Application fee:"
"src/main/assets/locales/cy/makeAnApplication/payForYourApplication.json","youWillBeRedirected","You will be redirected to GOV.UK Pay to complete your payment securely."
"src/main/assets/locales/cy/makeAnApplication/payForYourApplication.json","govPayIsASecureService","GOV.UK Pay is a secure payment service used by government services."
"src/main/assets/locales/cy/makeAnApplication/paymentUnsuccessful.json","pageTitle","Payment unsuccessful"
"src/main/assets/locales/cy/makeAnApplication/paymentUnsuccessful.json","yourPaymentWasUnsuccessful","Your payment was unsuccessful"
"src/main/assets/locales/cy/makeAnApplication/paymentUnsuccessful.json","youCanTryToMakeACardPayment","You can try to <a href=""{{ payForYourApplicationUrl }}"" class=""govuk-link"">make a card payment</a> again."
"src/main/assets/locales/cy/makeAnApplication/whatOrderDoYouWantTheCourtToMakeAndWhy.json","list.SOMETHING_ELSE.0","why you want to add someone to your claim"
"src/main/assets/locales/cy/makeAnApplication/whatOrderDoYouWantTheCourtToMakeAndWhy.json","list.SOMETHING_ELSE.1","why you should not be sanctioned (punished)"
"src/main/assets/locales/cy/makeAnApplication/whatOrderDoYouWantTheCourtToMakeAndWhy.json","list.SOMETHING_ELSE.2","why you want to transfer to the High Court for enforcement"
"src/main/assets/locales/cy/makeAnApplication/whatOrderDoYouWantTheCourtToMakeAndWhy.json","list.ADJOURN.0","you are unable to attend the hearing due a pre-existing medical appointment"
"src/main/assets/locales/cy/makeAnApplication/whatOrderDoYouWantTheCourtToMakeAndWhy.json","list.ADJOURN.1","you are attending a funeral"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersDocuments.json","cardTitle","Upload files"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersDocuments.json","rows.uploadedDocuments.label","Uploaded files"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersDocuments.json","rows.uploadedDocuments.changeHidden","uploaded files"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersIncomeAndExpenses.json","frequencies.WEEKLY","every week"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersIncomeAndExpenses.json","frequencies.MONTHLY","every month"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersIncomeAndExpenses.json","incomeFrequencies.WEEKLY","received every week"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersIncomeAndExpenses.json","incomeFrequencies.MONTHLY","received every month"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersIncomeAndExpenses.json","paymentFrequencies.WEEKLY","paid every week"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersIncomeAndExpenses.json","paymentFrequencies.MONTHLY","paid every month"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersIncomeAndExpenses.json","rows.shareIncomeExpenseDetails.changeHidden","share income and expense details"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersIncomeAndExpenses.json","rows.regularIncome.label","What regular income do you receive?"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersIncomeAndExpenses.json","rows.hasAppliedForUniversalCredit.changeHidden","applied for Universal Credit"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersIncomeAndExpenses.json","rows.universalCreditApplicationDate.label","When did you apply for Universal Credit?"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersIncomeAndExpenses.json","rows.universalCreditApplicationDate.changeHidden","Universal Credit application date"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersIncomeAndExpenses.json","rows.priorityDebtTotal.changeHidden","priority debt total"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersIncomeAndExpenses.json","rows.priorityDebtContribution.changeHidden","priority debt contribution"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersIncomeAndExpenses.json","rows.regularExpenses.label","What other regular expenses do you have?"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersIncomeAndExpenses.json","rows.otherConsiderations.changeHidden","other considerations"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersIncomeAndExpenses.json","rows.otherConsiderationsDetails.changeHidden","other considerations details"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersPaymentsAndAgreements.json","cardTitle","Payments and agreements"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersPaymentsAndAgreements.json","rows.paymentDetails.changeHidden","payment details"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersPaymentsAndAgreements.json","rows.repaymentPlanAgreed.changeHidden","repayment agreement"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersPaymentsAndAgreements.json","rows.repaymentAgreedDetails.changeHidden","repayment details"
"src/main/assets/locales/cy/respondToClaim/checkYourAnswersPaymentsAndAgreements.json","rows.repayArrearsInstalments.changeHidden","offer to pay in instalments"
