"File","Key","English","Welsh","Status"
"accessCode.json","errors.respondToClaimUnavailable","The option to respond to a claim is not available at the moment.","","NEEDS TRANSLATION"
"claimList.json","pageTitle","Your Possession Claims account","","NEEDS TRANSLATION"
"claimList.json","heading","Your Possession Claims account","","NEEDS TRANSLATION"
"claimList.json","accessYourCase","If a claim you want to view is not listed below, you must first <a href=""/access-your-case"" class=""govuk-link"" target=""_blank"" rel=""noreferrer noopener"">provide some details to access it (opens in new tab)</a>.","","NEEDS TRANSLATION"
"claimList.json","claimsMadeAgainstYou","Claims made against you","","NEEDS TRANSLATION"
"claimList.json","table.claimNumber","Claim number","","NEEDS TRANSLATION"
"claimList.json","table.claimantsName","Claimant’s name","","NEEDS TRANSLATION"
"claimList.json","table.propertyPostcode","Property postcode","","NEEDS TRANSLATION"
"claimList.json","table.actions","Actions","","NEEDS TRANSLATION"
"claimList.json","table.viewClaim","View claim","","NEEDS TRANSLATION"
"claimList.json","noClaimsFound","There are no claims against you.","","NEEDS TRANSLATION"
"common.json","errors.documentUpload.fileTooLargeDocStore","File you have uploaded is too big. Document files must be less than {{maxSize}}.","","NEEDS TRANSLATION"
"common.json","errors.documentUpload.fileTooLargeMedia","File you have uploaded is too big. Image files must be smaller than {{maxSize}}.","","NEEDS TRANSLATION"
"common.json","errors.documentUpload.fileTotalTooLargeDocStore","The selected files must be smaller than {{maxSize}}. Delete one or more files or reduce the file sizes.","","NEEDS TRANSLATION"
"common.json","errors.documentUpload.filenameTooLong","The file name must be {{maxLength}} characters or fewer","","NEEDS TRANSLATION"
"common.json","errors.documentUpload.uploadFailed","The selected file could not be uploaded – try again","","NEEDS TRANSLATION"
"common.json","errorPages.pageNotFound.paragraph8","<a class=""govuk-link"" href=""https://www.gov.uk/call-charges"" target=""_blank"" rel=""noopener noreferrer"">Find out about call charges (opens in new tab)</a>.","","NEEDS TRANSLATION"
"common.json","errorPages.serviceUnavailable.paragraph7","<a class=""govuk-link"" href=""https://www.gov.uk/call-charges"" target=""_blank"" rel=""noopener noreferrer"">Find out about call charges (opens in new tab)</a>.","","NEEDS TRANSLATION"
"common.json","errorPages.technicalError.paragraph8","<a class=""govuk-link"" href=""https://www.gov.uk/call-charges"" target=""_blank"" rel=""noopener noreferrer"">Find out about call charges (opens in new tab)</a>.","","NEEDS TRANSLATION"
"common.json","errorPages.accessDenied.paragraph6","<a class=""govuk-link"" href=""https://www.gov.uk/call-charges"" target=""_blank"" rel=""noopener noreferrer"">Find out about call charges (opens in new tab)</a>.","","NEEDS TRANSLATION"
"makeAnApplication/applicationSubmitted.json","paymentBeingProcessed","Payment being processed","","NEEDS TRANSLATION"
"makeAnApplication/applicationSubmitted.json","adjournRequestReceived","We have received your request to adjourn (delay) the court hearing.","","NEEDS TRANSLATION"
"makeAnApplication/applicationSubmitted.json","setAsideRequestReceived","We have received your request to set aside (cancel) the order.","","NEEDS TRANSLATION"
"makeAnApplication/applicationSubmitted.json","somethingElseRequestReceived","We have received your request to ask the court to make an order.","","NEEDS TRANSLATION"
"makeAnApplication/applicationSubmitted.json","youDoNotNeedToDoAnythingElse","You do not need to do anything else. We will send your application to the judge and we will contact you again when they have made a decision.","","NEEDS TRANSLATION"
"makeAnApplication/applicationSubmitted.json","giveFeedbackAboutThisService","Give feedback about this service","","NEEDS TRANSLATION"
"makeAnApplication/payForYourApplication.json","pageTitle","Pay for your application","","NEEDS TRANSLATION"
"makeAnApplication/payForYourApplication.json","heading","Pay for your application","","NEEDS TRANSLATION"
"makeAnApplication/payForYourApplication.json","applicationFee","Application fee:","","NEEDS TRANSLATION"
"makeAnApplication/payForYourApplication.json","youWillBeRedirected","You will be redirected to GOV.UK Pay to complete your payment securely.","","NEEDS TRANSLATION"
"makeAnApplication/payForYourApplication.json","govPayIsASecureService","GOV.UK Pay is a secure payment service used by government services.","","NEEDS TRANSLATION"
"makeAnApplication/paymentUnsuccessful.json","pageTitle","Payment unsuccessful","","NEEDS TRANSLATION"
"makeAnApplication/paymentUnsuccessful.json","yourPaymentWasUnsuccessful","Your payment was unsuccessful","","NEEDS TRANSLATION"
"makeAnApplication/paymentUnsuccessful.json","youCanTryToMakeACardPayment","You can try to <a href=""{{ payForYourApplicationUrl }}"" class=""govuk-link"">make a card payment</a> again.","","NEEDS TRANSLATION"
"makeAnApplication/whatOrderDoYouWantTheCourtToMakeAndWhy.json","list.SOMETHING_ELSE.0","why you want to add someone to your claim","","NEEDS TRANSLATION"
"makeAnApplication/whatOrderDoYouWantTheCourtToMakeAndWhy.json","list.SOMETHING_ELSE.1","why you should not be sanctioned (punished)","","NEEDS TRANSLATION"
"makeAnApplication/whatOrderDoYouWantTheCourtToMakeAndWhy.json","list.SOMETHING_ELSE.2","why you want to transfer to the High Court for enforcement","","NEEDS TRANSLATION"
"makeAnApplication/whatOrderDoYouWantTheCourtToMakeAndWhy.json","list.ADJOURN.0","you are unable to attend the hearing due a pre-existing medical appointment","","NEEDS TRANSLATION"
"makeAnApplication/whatOrderDoYouWantTheCourtToMakeAndWhy.json","list.ADJOURN.1","you are attending a funeral","","NEEDS TRANSLATION"
